,secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,Close,moneyness
779190,108105,2020-12-14,122,-30,0.25317199999999995,3401.469,110.2271,0.022792,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-6.7449394211652525
779191,108105,2020-12-14,122,-25,0.27016100000000004,3310.445,92.26508000000001,0.027134,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-9.24046374731018
779192,108105,2020-12-14,122,-20,0.290124,3199.897,74.26284,0.0335,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-12.271260275771567
779193,108105,2020-12-14,122,-15,0.313187,3061.5809999999997,55.860330000000005,0.041839,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-16.063347447232523
779194,108105,2020-12-14,122,-10,0.338336,2882.415,36.77836,0.051026999999999996,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-20.97538286006959
779195,108105,2020-12-14,122,10,0.16674,4126.919,16.01922,0.00635,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,13.144080204448173
779196,108105,2020-12-14,122,15,0.169067,4036.5370000000003,26.56581,0.005987,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,10.666157023247269
779197,108105,2020-12-14,122,20,0.172827,3968.336,38.88641,0.007181,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,8.796350658251107
779198,108105,2020-12-14,122,25,0.17796099999999998,3911.428,53.29739,0.008743,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,7.236154464365385
779199,108105,2020-12-14,122,30,0.184452,3860.38,70.2126,0.010201,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,5.836616696292718
779200,108105,2020-12-14,122,35,0.191999,3811.512,90.00715,0.011444,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,4.4968460559116075
779201,108105,2020-12-14,122,40,0.200396,3762.492,113.0965,0.012748,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,3.15290816626026
779202,108105,2020-12-14,122,45,0.209804,3711.835,140.1482,0.014305000000000002,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.7640900986130026
779203,108105,2020-12-14,122,50,0.220444,3658.0840000000003,172.0531,0.016074,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.2904465754255403
779204,108105,2020-12-14,122,55,0.232425,3599.6079999999997,209.862,0.018062,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-1.3127380846163383
779205,108105,2020-12-14,122,60,0.245881,3534.6020000000003,254.9274,0.02045,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-3.0949499665966385
779206,108105,2020-12-14,122,65,0.26116999999999996,3460.8259999999996,309.2346,0.023698,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-5.117601165024199
779207,108105,2020-12-14,122,70,0.279093,3374.9790000000003,376.0009,0.028735000000000004,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-7.471192270958483
779208,108105,2020-12-14,122,75,0.300953,3271.7740000000003,460.4183,0.037232999999999995,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-10.300672277108358
779209,108105,2020-12-14,122,80,0.328231,3143.007,570.332,0.051614,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-13.830962979612138
